"Estado","Cidade","Localidade","Tag de praias"
"paraíba","baía da traição","vaziu","#baiadatraicao
#baiadatraição
#baiadatraiçao
#baiadatraicaopb
#baíadatraicao
#baíadatraiçao
#baíadatraíção
#baiadatraiçãopb
#baiadatraíção
#baíadatraíçao
#baiadatraicão"
"pernambuco","fernando de noronha","cabeço da sapata","#cabeçodasapata
#cabecodasapata
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","caverna da sapata","#cavernadasapata
#cavernadasapatafn
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","baia dos porcos","#baiadosporcos
#baíadosporcos
#baíadosporcosnoronha
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","praia do atalaia","#praiadoatalaia
#praiasdepernambuco
#pedrabonita
#praiasdonordeste
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","praia do boldró","#praiadoboldró
#praiadoboldro
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","cabeço da âncora do morro de fora","#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","laje dois irmãos","#lajedoisirmãos
#lajedoisirmaos
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","praia do abreu","#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","praia do porto","#praiadoporto
#genipabu
#ig_mgnafoto
#praiadoportonoronha
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","fernando de noronha","piscina das caieiras","#piscinadascaieiras
#fernandodenoronha
#noronha
#amonoronha
#neuronha
#noronhando
#pernambuco"
"pernambuco","tamandaré","apa costa dos corais","#apacostadoscorais
#tamandare
#tamandaré
#pernanbuco
#pernambuco
#tamandarebeach"
"pernambuco","porto de galinhas ","pontal de maracaípe","#pontaldemaracaipe
#pontaldemaracaípe
#portodegalinhas
#portodegalinhasbeach
#pernanbuco
#pernambuco"
"pernambuco","ipojuca","praia de muro alto","#praiademuroalto
#praiademuroaltopernambuco
#ipojuca
#pernanbuco
#pernambuco
#ipojucape"
"pernambuco","vaziu","arquipélago de são pedro e são paulo","#arquipélagodesãopedroesãopaulo
#arquipelagodesaopedroesaopaulo
#pernanbuco
#pernambuco"
"pernambuco","cabo de santo agostinho","praia do paiva","#praiadopaiva
#praiadopaiva_cabo_pe
#praiadopaivapernambuco
#cabodesantoagostinho
#pernambuco
#pernanbuco
#cabodesantoagostinhope"
"pernambuco","são josé da coroa grande","vaziu","#saojosedacoroagrande
#sãojosédacoroagrande
#sojosedacoroagrande
#saojosedacoroagrandepe
#saojosédacoroagrande
#sãojosédacoroagrandepe"
"pernambuco","recife","naufrágio phoenix","#naufragiophoenix
#recife
#recifepe
#pernanbuco
#pernambuco"
"pernambuco","paulista","vaziu","#paulistape
#pernanbuco
#pernambuco"
"rio de janeiro","arraial do cabo","saco do anequim","#sacodoanequim
#arraialdocabo
#arraialdocaborj
#arraialdocabooficial 
#araialdocabo"
"rio de janeiro","arraial do cabo","prainhas do pontal do atalaia","#arraialdocabo
#arraialdocaborj
#arraialdocabooficial
#araialdocabo"
"rio de janeiro","arraial do cabo","praia grande","#arraialdocabo
#arraialdocaborj
#arraialdocabooficial
#araialdocabo"
"rio de janeiro","arraial do cabo","praia da graçainha","#praiadagraçainha
#praiadagracainha
#praiadagraçaínha
#arraialdocabo
#arraialdocaborj
#arraialdocabooficial
#araialdocabo"
"rio de janeiro","arraial do cabo","praia do forno","#praiadofornobuzios
#arraialdocabo
#arraialdocaborj
#arraialdocabooficial
#araialdocabo"
"rio de janeiro","búzios","ilha da âncora","#ilhadaancora
#ilhadaâncora
#búzios
#buzios
#buziosbeach"
"rio de janeiro","búzios","ponta do criminoso","#pontadocriminoso
#búzios
#buzios
#buziosbeach"
"rio de janeiro","angra dos reis","baía de ilha grande","#baíadeilhagrande
#baiadeilhagrande
#angradosreis
#ilhagrande
#angra
#errejota
#rj40graus"
"rio de janeiro","paraty","ilha dos meros","#ilhadosmeros
#errejota
#paratyrj
#paratybrasil
#paratyzando
#paraty
#rj"
"rio de janeiro","rio de janeiro","sepetiba","#sepetiba
#sepetibarj
#riodejaneiro
#rj"
"rio de janeiro","rio de janeiro","armação de búzios","#armaçãodosbúzios
#errejota
#armacaodosbuzios
#rio40graus
#armaçaodosbuzios
#armaçãodosbuzios
#armaçaodosbúzios
#armaçãodosbúziosrj
#riodejaneiro
#rj"
"rio de janeiro","cabo frio","vaziu","#cabofrio
#cabofriorj
#riodejaneirogram
#riomais"
"rio de janeiro","niterói","vaziu","#niterói
#niteroi"
"rio grande do norte","natal","praia de santa rita","#praiadesantarita
#praiadesantaritarn
#natalrn
#riograndedonorte
#natalrnbrasil
#natalrnbrazil
#natalrnbr
#natalrnbrasil2"
"rio grande do norte","natal","batente das agulhas","#batentedasagulhas
#batentedasagulhasrn
#natalrn
#riograndedonorte
#natalrnbrasil
#natalrnbrazil
#natalrnbr
#natalrnbrasil2"
"rio grande do norte","vaziu","cabeço do silva","#cabecodosilva"
"rio grande do norte","maracajau","parrachos de maracajau","#parrachosdemaracajau
#parrachosdemaracajaú
#parrachosdemaracajaurn
#maracajau
#maracajaudiver
#maracajaúrn
#maracajaúbeach
#maracajaubeach
#maracajauadventure
#maracajaumergulho
#maracajaúadventure
#maracajaú"
"rio grande do norte","rio do fogo","parrachos rio do fogo","#parrachosderiodofogo
#riodofogobeach
#riodofogo_rn
#parrachos
#riodofogo
#visitiriodofogo.oficial
#riodofogo 
#rn"
"rio grande do norte","nísia floresta","praia de barreta","#praiadebarreta
#praiadebarretarn
#nisiafloresta
#nísiafloresta
#nisiaflorestarn"
"rio grande do norte","nísia floresta","praia de pirambúzios","#praiadepirambúzios
#praiadepirambuzios
#nisiafloresta
#nísiafloresta
#nisiaflorestarn"
"rio grande do norte","nísia floresta","praia de búzios","#praiadebuzios
#praiadebúzios
#praiadebuziosnatal
#nisiafloresta
#nísiafloresta
#nisiaflorestarn"
"rio grande do norte","pipa","praia do amor","#praiadoamor
#pipabeach
#praiadapipa
#piparn
#pipa
#pipabeach"
"rio grande do norte","tibau do sul","praia de tibau do sul","#praiadetibaudosul
#tibaudosul
#tibaudosulbeach
#tibaudosullindo"
"rio grande do norte","extremoz","praia de genipabu","#praiadegenipabu
#praiadegenipabú
#praiadegenipaburn
#praiadegenipabunatal
#praiadegenipabuextremozrnbrasil
#praiadegenipaburnbrasil
#extremoz
#extremozrn
#extremóz"
"rio grande do norte","canguaretama ","barra do cunhaú","#barradocunhaú
#barradocunhau
#barradocunhaurn
#barradocunhaubeach
#canguaretama
#canguaretamarn"
"rio grande do norte","atol das rocas","piscina falsa barreta","#atoldasrocas"
"santa catarina","florianópolis","ilha do arvoredo","#ilhadoarvoredo
#ilhadoarvoredosc
#florianópolis
#florianopolis
#floripa
#santacatarina
#santacatarinaemfotos
#floripando"
"santa catarina","florianópolis","barra da lagoa","#barradalagoa
#floripa
#floripamilgrau
#floripalinda
#floripando
#floripandooficial
#florianópolis
#florianopolis
#floripa
#santacatarina
#santacatarinaemfotos
#floripando"
"são paulo","ubatuba","praia do cedro","#praiadocedro
#praiadocedrodosul
#ubatuba
#ubatubabeach
#litoralnortesp"
"são paulo","ubatuba","ilha anchieta","#ilhaanchieta
#ilhaanchietaubatuba
#ilhaanchietaubatubasp
#ilhaanchietasp
#ubatuba
#ubatubabeach
#litoralnortesp"
"são paulo","ubatuba","praia da fortaleza","#praiadafortaleza
#praiadafortalezaubatuba
#ubatuba
#ubatubabeach
#litoralnortesp"
"são paulo","ilhabela","ilha das cabras","#ilhadascabras
#ilhadascabrasilhabela
#ilhadascabrasnarwhal
#ilhadascabrasbc
#ilhabela
#litoralnortesp
#ilhabelasp
#ilhabelabeach"
"são paulo","ilhabela","praia do portinho","#praiadoportinho
#praiadoportinhoilhabela
#praiadoportinhodaarrabida
#praiadoportinhodebaixo
#praiadoportinhodoforno
#ilhabela
#litoralnortesp
#ilhabelasp
#ilhabelabeach"
"são paulo","santos","laje de santos","#lajedesantos
#santoscity
#santossp"
"são paulo","são sebastião","ilha de alcatrazes","#arquipelagodealcatrazes
#ilhadealcatrazes
#arquipélagodealcatrazes
#saosebastiao
#litoralnortesp
#sãosebastião
#acraalcatrazes"
"são paulo","itanhaém","ilha da queimada grande","#ilhadaqueimadagrande
#itanhaem
#itanhaém
#litoralpaulista
#litoralsp"
"sergipe","aracaju","praia de atalaia","#praiadeatalaiaaracaju
#aracaju
#aracajusergipe
#aracajú
#aracajucomoeuvejo
#sergipe 
#mardesergipe"
